06/08/20,41.7681,-74.155,12845,0,78,53
06/01/20,41.62574,-73.88156,12845,0,69,39
06/02/20,41.62574,-73.88156,12845,0.01,72,45
06/03/20,41.62574,-73.88156,12845,0.17,80,57
06/04/20,41.62574,-73.88156,12845,0,87,57
06/05/20,41.62574,-73.88156,12845,0.03,82,67
06/06/20,41.62574,-73.88156,12845,0,89,60
06/07/20,41.62574,-73.88156,12845,0,75,50
06/08/20,41.62574,-73.88156,12845,0,80,46
06/01/20,41.8017,-74.74,12845,0,58,34
06/02/20,41.8017,-74.74,12845,0,62,37
06/03/20,41.8017,-74.74,12846,0.18,63,45
06/04/20,41.8017,-74.74,12846,0.81,74,55
06/05/20,41.8017,-74.74,12846,0,80,60
06/06/20,41.8017,-74.74,12846,0,77,58
06/07/20,41.8017,-74.74,12846,0,79,55
06/08/20,41.8017,-74.74,12846,0,73,58
06/01/20,41.82737,-74.95065,12846,0,59,30
06/02/20,41.82737,-74.95065,12846,0,64,39
06/03/20,41.82737,-74.95065,12847,0.14,64,46
06/04/20,41.82737,-74.95065,12847,0.14,76,54
06/05/20,41.82737,-74.95065,12847,0,82,58
06/06/20,41.82737,-74.95065,12847,0.02,79,59
06/07/20,41.82737,-74.95065,12847,0.04,80,47
06/08/20,41.82737,-74.95065,12847,0,69,40
06/01/20,41.3891,-74.6905,12847,0,65,40
06/02/20,41.3891,-74.6905,12847,0,69,44
06/03/20,41.3891,-74.6905,12847,0.26,70,49
06/04/20,41.3891,-74.6905,12847,0.32,80,57
06/05/20,41.3891,-74.6905,12847,0.13,85,61
06/06/20,41.3891,-74.6905,12847,0,83,65
06/07/20,41.3891,-74.6905,12847,0,85,52
06/08/20,41.3891,-74.6905,12847,0,73,45
06/01/20,41.5916,-74.6143,12847,0,60,35
06/02/20,41.5916,-74.6143,12847,0,64,36
06/03/20,41.5916,-74.6143,12852,0,65,50
06/04/20,41.5916,-74.6143,12852,0.4,77,56
06/05/20,41.5916,-74.6143,12852,0.05,81,61
06/06/20,41.5916,-74.6143,12852,0.07,78,62
06/07/20,41.5916,-74.6143,12852,0.11,78,49
06/08/20,41.5916,-74.6143,12852,0,70,43
06/01/20,43.33845,-73.61028,12852,0,61,33
06/02/20,43.33845,-73.61028,12852,0,67,38
06/03/20,43.33845,-73.61028,12855,0,76,54
06/04/20,43.33845,-73.61028,12855,0,87,47
06/05/20,43.33845,-73.61028,12855,0,85,64
06/06/20,43.33845,-73.61028,12855,0,84,58
06/07/20,43.33845,-73.61028,12855,0,70,47
06/08/20,43.33845,-73.61028,12855,0,77,40
